Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2002","2002","1000 SLC","883050","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2003","2003","1000 SLC","1246000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2004","2004","1000 SLC","1337700","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2005","2005","1000 SLC","1409826","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2006","2006","1000 SLC","2628067","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2007","2007","1000 SLC","5433830","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2008","2008","1000 SLC","8980020","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2009","2009","1000 SLC","8032038","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2010","2010","1000 SLC","12079200","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2011","2011","1000 SLC","13995080","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2012","2012","1000 SLC","14911000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2013","2013","1000 SLC","9806240","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2014","2014","1000 SLC","6160180","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2015","2015","1000 SLC","5233830","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2016","2016","1000 SLC","6539411","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2017","2017","1000 SLC","5213293","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2018","2018","1000 SLC","6239642","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2019","2019","1000 SLC","6707803","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","221","Almonds, with shell","2020","2020","1000 SLC","7160695","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2002","2002","1000 SLC","534450","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2003","2003","1000 SLC","392602","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2004","2004","1000 SLC","220334","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2005","2005","1000 SLC","222629","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2006","2006","1000 SLC","765450","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2007","2007","1000 SLC","1080520","Fc","Calculated data"
