Year,Item,Value
2002,"Almonds, with shell",1302210
2002,Apples,5874325
2002,Apricots,2399450
2002,Bananas,1173882
2002,Barley,733530
2002,Castor oil seed,18233
2002,Dates,15000000
2002,"Eggs, hen, in shell",17277627
2002,Garlic,1077201
2002,Ginger,747
2002,Grapes,1911000
2002,"Groundnuts, with shell",2370375
2002,Lemons and limes,1336200
2002,Lentils,635612
2002,Linseed,28548
2002,Maize,14591640
2002,"Mangoes, mangosteens, guavas",17372095
2002,"Meat indigenous, goat",34981650
2002,"Meat indigenous, sheep",16702950
2002,"Meat, goat",34981650
2002,"Meat, sheep",16702950
2002,"Melons, other (inc.cantaloupes)",2619117
2002,"Milk, whole fresh buffalo",297813550
2002,"Milk, whole fresh cow",137983750
2002,Millet,1778480
2002,"Onions, dry",7859971
2002,Oranges,13883730
2002,Peaches and nectarines,1678600
2002,Pears,340515
2002,"Peas, dry",769573
2002,Plums and sloes,1133405
2002,Potatoes,10730464
2002,Pulses nes,3859885
2002,Rapeseed,3528140
2002,"Rice, paddy",66304193
2002,Roots and tubers nes,4345757
2002,Safflower seed,533
2002,Seed cotton,48196200
2002,Sesame seed,563560
2002,Sorghum,1620000
2002,Soybeans,21047
2002,Sugar beet,111575
2002,Sugar cane,29257334
2002,Sunflower seed,1256928
2002,"Walnuts, with shell",588003
2002,Wheat,160848863
2002,"Wool, greasy",1358079
2003,"Almonds, with shell",3206763
2003,Apples,12073081
2003,Apricots,5630549
2003,Bananas,1360980
2003,Barley,776880
2003,Castor oil seed,41438
2003,Dates,11790958
2003,"Eggs, hen, in shell",17713338
2003,Garlic,1083801
2003,Ginger,885
2003,Grapes,1762634
2003,"Groundnuts, with shell",3334903
2003,Lemons and limes,1293600
2003,Lentils,768690
2003,Linseed,64140
2003,Maize,16744555
2003,"Mangoes, mangosteens, guavas",19269053
2003,"Meat indigenous, goat",43470000
2003,"Meat indigenous, sheep",16913050
2003,"Meat, goat",43470000
2003,"Meat, sheep",16913050
2003,"Melons, other (inc.cantaloupes)",975775
2003,"Milk, whole fresh buffalo",307645925
2003,"Milk, whole fresh cow",140644275
2003,Millet,2641205
2003,"Onions, dry",10955909
2003,Oranges,16837744
2003,Peaches and nectarines,1676906
2003,Pears,435642
2003,"Peas, dry",730350
2003,Plums and sloes,1683953
2003,Potatoes,10947938
2003,Pulses nes,5715193
2003,Rapeseed,4512000
2003,"Rice, paddy",75957044
2003,Roots and tubers nes,4099947
2003,Safflower seed,525
2003,Seed cotton,47427525
2003,Sesame seed,922770
2003,Sorghum,2345285
2003,Soybeans,6221
2003,Sugar beet,250308
2003,Sugar cane,28786857
2003,Sunflower seed,2374610
2003,"Walnuts, with shell",570370
2003,Wheat,175527195
2003,"Wool, greasy",1418838
2004,"Almonds, with shell",3303665
2004,Apples,12802704
2004,Apricots,5778120
2004,Bananas,1677120
2004,Barley,780800
2004,Castor oil seed,34820
2004,Dates,17427312
2004,"Eggs, hen, in shell",18258273
2004,Garlic,1546787
2004,Ginger,1436
2004,Grapes,1723058
2004,"Groundnuts, with shell",2369888
2004,Lemons and limes,1445220
2004,Lentils,830370
2004,Linseed,67384
2004,Maize,28238512
2004,"Mangoes, mangosteens, guavas",20063753
2004,"Meat indigenous, goat",45606750
2004,"Meat indigenous, sheep",17331650
2004,"Meat, goat",45606750
2004,"Meat, sheep",17331650
2004,"Melons, other (inc.cantaloupes)",1004738
2004,"Milk, whole fresh buffalo",323232000
2004,"Milk, whole fresh cow",145790400
2004,Millet,1894340
2004,"Onions, dry",12357285
2004,Oranges,18912340
2004,Peaches and nectarines,1809236
2004,Pears,449492
2004,"Peas, dry",793500
2004,Plums and sloes,1687432
2004,Potatoes,20278340
2004,Pulses nes,4628596
2004,Rapeseed,4642950
2004,"Rice, paddy",92036749
2004,Roots and tubers nes,7754886
2004,Safflower seed,588
2004,Seed cotton,67698420
2004,Sesame seed,1124497
2004,Sorghum,1845360
2004,Soybeans,6678
2004,Sugar beet,339805
2004,Sugar cane,34767720
2004,Sunflower seed,6704548
2004,"Walnuts, with shell",559398
2004,Wheat,208569861
2004,"Wool, greasy",1461278
2005,"Almonds, with shell",3215278
2005,Apples,12995584
2005,Apricots,5349122
2005,Bananas,1428331
2005,Barley,751940
2005,Castor oil seed,36558
2005,Dates,14152416
2005,"Eggs, hen, in shell",19449352
2005,Garlic,2084958
2005,Ginger,1775
2005,Grapes,1739791
2005,"Groundnuts, with shell",2281257
2005,Lemons and limes,1859760
2005,Lentils,696710
2005,Linseed,56276
2005,Maize,31453604
2005,"Mangoes, mangosteens, guavas",32642025
2005,"Meat indigenous, goat",47970570
2005,"Meat indigenous, sheep",17820000
2005,"Meat, goat",47974200
2005,"Meat, sheep",17820000
2005,"Melons, other (inc.cantaloupes)",941612
2005,"Milk, whole fresh buffalo",338028000
2005,"Milk, whole fresh cow",150416000
2005,Millet,2185920
2005,"Onions, dry",16800896
2005,Oranges,24059580
2005,Peaches and nectarines,2460675
2005,Pears,425145
2005,"Peas, dry",654690
2005,Plums and sloes,1741431
2005,Potatoes,23642732
2005,Pulses nes,4388703
2005,Rapeseed,4300000
2005,"Rice, paddy",105689970
2005,Roots and tubers nes,8732215
2005,Safflower seed,502
2005,Seed cotton,60206013
2005,Sesame seed,1332546
2005,Sorghum,1526000
2005,Soybeans,5280
2005,Sugar beet,170822
2005,Sugar cane,30330712
2005,Sunflower seed,6392452
2005,"Walnuts, with shell",654148
2005,Wheat,240458450
2005,"Wool, greasy",1496920
2006,"Almonds, with shell",3268160
2006,Apples,13240720
2006,Apricots,5039672
2006,Bananas,1602075
2006,Barley,787500
2006,Castor oil seed,51660
2006,Dates,13640992
2006,"Eggs, hen, in shell",22811807
2006,Garlic,2406264
2006,Ginger,1128
2006,Grapes,1994127
2006,"Groundnuts, with shell",2660400
2006,Lemons and limes,1897866
2006,Lentils,495963
2006,Linseed,63018
2006,Maize,33972400
2006,"Mangoes, mangosteens, guavas",38586020
2006,"Meat indigenous, goat",40000000
2006,"Meat indigenous, sheep",16881965
2006,"Meat, goat",40000000
2006,"Meat, sheep",16881965
2006,"Melons, other (inc.cantaloupes)",1053512
2006,"Milk, whole fresh buffalo",356022000
2006,"Milk, whole fresh cow",193068000
2006,Millet,2908360
2006,"Onions, dry",18706870
2006,Oranges,27447829
2006,Peaches and nectarines,2708108
2006,Pears,451744
2006,"Peas, dry",748791
2006,Plums and sloes,1959757
2006,Potatoes,17012800
2006,Pulses nes,5520410
2006,Rapeseed,3724538
2006,"Rice, paddy",106727186
2006,Roots and tubers nes,9229292
2006,Safflower seed,494
2006,Seed cotton,62522000
2006,Sesame seed,1215720
2006,Sorghum,2566850
2006,Soybeans,10104
2006,Sugar beet,135846
2006,Sugar cane,29535955
2006,Sunflower seed,6965500
2006,"Walnuts, with shell",713616
2006,Wheat,228726675
2006,"Wool, greasy",1545706
2007,"Almonds, with shell",3390390
2007,Apples,17663000
2007,Apricots,7354679
2007,Bananas,1579725
2007,Barley,927000
2007,Castor oil seed,43542
2007,Dates,22300960
2007,"Eggs, hen, in shell",26073276
2007,Garlic,2991984
2007,Ginger,2411
2007,Grapes,3361457
2007,"Groundnuts, with shell",3085800
2007,Lemons and limes,1202718
2007,Lentils,633414
2007,Linseed,89571
2007,Maize,41454050
2007,"Mangoes, mangosteens, guavas",41260320
2007,"Meat indigenous, goat",47795200
2007,"Meat indigenous, sheep",18624554
2007,"Meat, goat",47795200
2007,"Meat, sheep",18624554
2007,"Melons, other (inc.cantaloupes)",1081968
2007,"Milk, whole fresh buffalo",381975000
2007,"Milk, whole fresh cow",208687500
2007,Millet,5038600
2007,"Onions, dry",17619080
2007,Oranges,16347378
2007,Peaches and nectarines,2636544
2007,Pears,387881
2007,"Peas, dry",1109713
2007,Plums and sloes,2667896
2007,Potatoes,29687250
2007,Pulses nes,5994661
2007,Rapeseed,4956082
2007,"Rice, paddy",118854753
2007,Roots and tubers nes,9994646
2007,Safflower seed,676
2007,Seed cotton,62445900
2007,Sesame seed,1344308
